Media,Variancia,Skewness,Kurtosis,energia,entropia
941.72265625,1067676.3644866943,212.91297962812536,3.2082156376085194,241081,-18.65626362471205
659.84765625,280713.24632263184,98.46569733623744,2.1597496979502497,168921,-10.476212046117954
749.390625,569044.7536621094,186.10229291629364,3.928544728245152,191844,-9.909738857819743
780.50390625,276221.7109222412,116.53050494374553,2.2554370521627956,199809,-8.975528662084022
980.47265625,466821.84300231934,144.54186454721668,4.261622967984682,251001,-8.788028662084022
427.97265625,218293.63597106934,88.95906864739216,8.79064470104976,109561,-10.230239648336088
1028.00390625,721615.5585784912,236.84852794044662,4.439434806716483,263169,-8.591682324168044
708.890625,400621.1599121094,178.82561490516264,2.6466055112177362,181476,-9.582835986252066
1134.84765625,1570084.5041351318,256.8488094828394,4.363526369020087,290521,-10.038712046117954
656.640625,329495.9177246094,169.60034242537773,4.05506744633964,168100,-9.435432324168044
370.5625,107844.65234375,71.14290996772176,5.124175442830366,94864,-10.76206528292424
326.25390625,116460.66600036621,69.47156345947162,10.258419642750932,83521,-10.372555743135356
689.0625,325548.55078125,169.14721607591247,4.247870672350081,176400,-9.247932324168044
837.37890625,776775.9697113037,149.90161947984743,7.585244970405126,214369,-8.957835986252066
564.0625,318941.39453125,139.35826756032378,6.8638017712513815,144400,-10.047450634588152
945.5625,2303309.86328125,141.04452440227595,7.80193103182932,242064,-9.886489648336088
503.44140625,167274.50437927246,81.51160130678163,2.2621340775251424,128881,-9.830768310420108
695.640625,639346.8786621094,141.21117310315657,4.224655845951568,178084,-10.08076831042011
992.25,910510.984375,210.23858197908234,5.755305977049263,254016,-9.428653662084022
517.5625,107969.19140625,-94.76419477454692,2.0892790811753903,132496,-9.728171972504132
926.44140625,1161767.4575042725,195.1283211965623,7.773407419245603,237169,-9.201057324168044
640.72265625,536469.5597991943,140.08636783995772,5.372745520289145,164025,-9.716682324168044
930.25,790829.2421875,232.72214505096812,4.470423818422594,238144,-9.201057324168044
957.12890625,1168268.4404144287,166.11363830958263,7.248282197204438,245025,-9.192210986252066
1004.09765625,651560.2131195068,163.13068016078964,4.004703773113134,257049,-9.069278662084022
417.69140625,210680.04930114746,95.01521812307054,6.22885900077801,106929,-10.639132958756196
666.28515625,329863.1647796631,147.90573688466156,2.530275834740039,170569,-11.038712046117954
666.28515625,1121609.594467163,84.21202426252958,12.266565860291607,170569,-11.49288056584848
1630.140625,1633033.8395996094,279.75657039226655,4.047557017071067,417316,-8.5625
597.19140625,436925.40476989746,134.21167633254282,3.7143562303996926,152881,-9.435432324168044
531.87890625,161577.8251800537,142.14442648232654,2.2173695197336722,136161,-9.426585986252066
647.06640625,493357.17137145996,146.97203077583018,4.571338494931954,165649,-9.629710986252066
523.265625,228293.66381835938,122.59896386164333,2.8734687428077352,133956,-9.902114648336088
293.265625,67886.55444335938,57.423342637786334,2.6649846874575687,75076,-11.558671451337332
808.69140625,535457.2836761475,190.10780235316588,5.624505534484564,207025,-9.078125
934.06640625,353760.54637145996,95.06527281999111,6.687096092915492,239121,-8.890625
333.0625,51858.88671875,-59.12231352634287,2.2589349328053134,85264,-10.29951831042011
603.31640625,290762.94285583496,162.9736466882285,1.771601217987816,154449,-9.643268310420108
851.91015625,404325.8786468506,129.24797741749796,1.9236806264962716,218089,-9.022403662084022
739.16015625,893122.8532562256,141.87732755194384,6.756424584145396,189225,-10.355239648336088
784.0,334094.0625,128.26796451390334,2.0959078749823417,200704,-10.045382958756196
1168.78515625,732803.8483734131,207.70944857048764,3.6504192085952583,299209,-9.294807324168044
784.0,1557082.328125,98.46184709708697,11.910917954839913,200704,-10.690826694454042
732.37890625,547685.2197113037,174.88961467354284,3.9683928509977813,187489,-9.379710986252066
745.97265625,319526.33128356934,120.45513291713648,3.0918438656139373,190969,-9.022403662084022
739.16015625,326534.1188812256,87.85042721093915,3.3092928101332535,189225,-9.107307324168044
695.640625,352245.3708496094,177.43647702049023,4.753810893299509,178084,-9.013557324168044
732.37890625,357708.8837738037,194.04410875871466,1.8319578181669103,187489,-9.417739648336088
317.28515625,33793.117904663086,10.633159685439727,1.983756109706876,81225,-10.91153662084022
594.140625,329158.0661621094,152.9829923449602,1.9770805083374658,152100,-9.770335986252066
766.59765625,385013.99827575684,124.70638488876655,3.921792806072354,196249,-9.388557324168044
628.12890625,247417.5966644287,109.69511850662019,3.537993188516909,160801,-9.75264331042011
597.19140625,332317.60008239746,153.06083704305834,2.304691459785281,152881,-10.785960986252066
784.0,459194.5625,220.43264692344883,2.087801954458569,200704,-9.572029721949912
692.34765625,566112.6486663818,159.1897150143357,3.3564552011836013,177241,-8.9375
478.515625,520220.0075683594,78.22140353759883,15.971053900567636,122500,-11.482882958756196
